Batch Number: 1,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,Batch Time,C1-1,C1-2,C1-3,C2-2,C3-3,,,,,
Worker3,0.941987,0.055959,,,,,,28500,0.1324462,0.3093186,0.2317772,0.8564806,1.1641718,0.08628,0.010152,0.468129,1.936367,0.02745
Queue:,Ocupancy:,,,,,,,29000,0.1446352,0.3649654,0.2542172,0.8541804,1.0834964,0.208805,0.422332,0.035101,0.683856,1.257459
C1-1,0.168058,,,,,,,29500,0.1488824,0.3575658,0.143001,0.956247,1.2449958,0.116447,0.343044,0.02395,0.715246,1.813605
C1-2,0.089803,,,,,,,30000,0.1595926,0.4809812,0.0494016,0.6283892,1.6390738,0.194316,0.903248,0.131625,0,1.545115
C1-3,0.049698,,,,,,,30500,0.1454454,0.4726002,0.0510576,0.6086628,1.786661,0.138564,0.109053,0.0562,1.445766,1.58135
C2-2,1.995893,,,,,,,31000,0.1448988,0.4398626,0.0462676,0.5214176,1.820759,0.139831,0.627229,0.000132,0.297078,1.99784
C3-3,1.939933,,,,,,,31500,0.208531,0.37223,0.0783138,0.6463022,1.7543534,0.138069,0.380427,0.043381,0.585224,1.995395
,,,,,,,,32000,0.2093184,0.3976372,0.0813292,0.5789338,1.704789,0.113714,0.179356,0,0.27902,1.984095
Batch Number: 4,,,,,,,,32500,0.2029286,0.283147,0.0813028,0.6817158,1.6903528,0.512477,0.565085,0.291856,0.624423,1.213087
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,33000,0.2013268,0.2289232,0.0869584,0.8870682,1.59839,0.142501,0.236089,0.071277,1.108924,1.333528
Ignore,0,0,0.588532,#NAME?,0.588532,#NAME?,,33500,0.190604,0.1987798,0.0869584,1.2122306,1.601224,0.107882,0.054778,0,0.810988,1.925659
Component1,66,0.131764,1.728399,14.539228,1.728399,1.915742,,34000,0.1032116,0.0857628,0.0285872,1.3801866,1.7537586,0.13006,0.109308,0.071659,1.611986,1.535581
Component2,2,0.003993,0.718893,837.613013,0.718893,3.344454,,34500,0.1086846,0.118726,0.0166712,1.2894856,1.8021424,0.0601,0.028639,0,1.904832,1.998265
Component3,3,0.005989,1.857674,747.785107,1.857674,4.478679,,35000,0.0980208,0.2227614,0.0196934,1.2430396,1.8148442,0.075515,0,0,1.464203,1.97576
Part1,63,0.125774,0.380742,3.027183,0.380742,0.380742,,35500,0.0794042,0.3246542,0.0053616,0.9206424,1.9066134,0.169866,0.400905,0.011697,0.655419,1.575447
Part2,4,0.007986,0.189418,23.719686,0.189418,0.189418,,36000,0.0730708,0.5148002,0.0053616,0.539676,1.8987082,0.054563,0.574955,0.015111,0.578758,1.989168
Part3,3,0.005989,0.095507,15.946417,0.095507,0.095507,,36500,0.0727192,0.6047098,0.0053616,0.2468354,1.9013428,0.036977,0.618772,0,0,1.994427
Agent:,Idle:,Busy:,,,,,,37000,0.0909618,0.5348378,0.0047954,0.3612664,1.9820392,0.028433,0.979369,0,0,1.958739
Inspector1,0,0.999078,,,,,,37500,0.090456,0.482277,0.0017732,0.4388874,1.959204,0.073757,0.449548,0,0,1.988933
Inspector2,0.484978,0.514101,,,,,,38000,0.1244492,0.4738738,0.0017732,0.4388874,1.9440146,0.261079,0.051545,0.008866,1.227574,1.978929
Worker1,0.617309,0.38177,,,,,,38500,0.1528028,0.3569954,0.0017732,0.639531,1.915592,0.052034,0.312151,0,0.966863,1.874992
Worker2,0.829824,0.169254,,,,,,39000,0.1567192,0.3418434,0.0017732,0.7641538,1.9125188,0.206943,0.576756,0,0,1.91848
Worker3,0.861815,0.137263,,,,,,39500,0.1274754,0.4736432,0.0205512,0.5668276,1.8138578,0.170201,0.394977,0,1.003218,1.816626
Queue:,Ocupancy:,,,,,,,40000,0.1474568,0.515017,0.022686,0.5249218,1.8280626,0.093339,0.373788,0,0.623114,1.973567
C1-1,0.047025,,,,,,,40500,0.1276552,0.5333696,0.024337,0.56779,1.7859196,0.11486,0.710544,0.102756,0.240943,1.485624
C1-2,0.616829,,,,,,,41000,0.1347496,0.5573764,0.0265214,0.4548446,1.811505,0.151941,0.51902,0.010674,0.757334,1.946016
C1-3,0.112493,,,,,,,41500,0.1225836,0.500413,0.0294162,0.483522,1.7767694,0.107935,0.668519,0.008255,0.214341,1.707765
C2-2,0.552307,,,,,,,42000,0.1155486,0.3583042,0.008865,0.635212,1.879402,0.205673,0.515011,0.010922,0.438491,1.944553
C3-3,1.474608,,,,,,,42500,0.093178,0.2545002,0.0067302,0.683679,1.8900664,0.032509,0.088971,0.014474,0.766501,1.799889
,,,,,,,,43000,0.0885528,0.1207964,0.0050792,0.6622528,1.9407056,0.079685,0,0,0.999393,1.998787
Batch Number: 5,,,,,,,,43500,0.0885104,0.0866488,0.0079708,0.6360586,1.94432,0.040088,0,0,0.999669,1.999338
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,44000,0.1079346,0.119779,0.0080602,0.621431,1.9318732,0.084809,0,0,0.10721,1.960961
Ignore,0,0,0.597159,#NAME?,0.597159,#NAME?,,44500,0.1209284,0.1820564,0.0080602,0.6784034,1.8109462,0.205461,0.344273,0.02538,0.30752,1.962625
Component1,39,0.077999,1.117614,16.108262,1.117614,1.256436,,45000,0.1330204,0.3551954,0.0159068,0.4784696,1.758713,0.12963,0.254622,0.014921,0.693363,1.737655
Component2,1,0.002,1.703579,851.794959,1.703579,1.703579,,45500,0.1351762,0.407291,0.0159068,0.4570276,1.7582286,0.144654,0.311387,0,1.284255,1.394152
Component3,3,0.006,2.093052,370.722568,2.093052,2.224321,,46000,0.119811,0.4394004,0.0124118,0.4407872,1.7047734,0.100548,0.865695,0.039233,0,1.738172
Part1,33,0.066,0.405328,6.141379,0.405328,0.405328,,46500,0.1358072,0.5816034,0.0161058,0.4475706,1.745939,0.095588,0.260478,0,0,1.958539
Part2,2,0.004,0.100778,25.194608,0.100778,0.100778,,47000,0.1312794,0.6332042,0.0161058,0.1907196,1.8628966,0.128635,0.50482,0.007905,0.226318,1.695349
Part3,3,0.006,0.159177,26.529595,0.159177,0.159177,,47500,0.144584,0.5575312,0.0178878,0.1907196,1.8643498,0.209611,0.965637,0.033391,0.72728,1.943483
